time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010446119841	7.48082	-5.40848	-2.83276	2.11234	0.269009	lidar	0.228155	7.44737	-5.45308	7.45	-5.45	0.90819	-2.72457
1477010446174794	7.55942	-5.54358	-2.81626	2.1213	0.255725	radar	0.145856	7.63082	-5.61863	7.55	-5.55	1.81974	-1.81974
1477010446229748	7.64153	-5.67136	-2.81308	2.13856	0.260702	lidar	0.00165732	7.64356	-5.66706	7.65	-5.65	1.81972	-1.81972
1477010446284703	7.70605	-5.79297	-2.71709	2.1362	0.22463	radar	0.433598	7.60376	-5.74774	7.7	-5.8	0.90983	-2.72951
1477010446339659	7.76783	-5.93472	-2.73266	2.12257	0.184985	lidar	0.106971	7.7342	-5.95374	7.75	-5.95	0.909826	-2.72948
1477010446389694	7.89072	-6.08446	-3.16842	2.18516	0.322297	radar	6.83267	7.82165	-6.06822	7.85	-6.1	1.9986	-2.9979
1477010446439730	7.9717	-6.22467	-3.18135	2.18484	0.296827	lidar	0.0416897	7.95703	-6.24328	7.95	-6.25	1.99858	-2.99787
1477010446494754	8.05213	-6.35276	-2.97695	2.1806	0.241511	radar	1.8086	8.17338	-6.44684	8.05	-6.35	1.81738	-1.81739
1477010446549779	8.15293	-6.47356	-2.96399	2.2079	0.26342	lidar	0.0324131	8.15891	-6.45335	8.15	-6.45	1.81737	-1.81737
1477010446604767	8.22481	-6.58875	-2.80767	2.20557	0.225364	radar	0.983209	8.08628	-6.51855	8.2	-6.6	0.909293	-2.72787
1477010446659755	8.29436	-6.73054	-2.81885	2.18838	0.179832	lidar	0.138237	8.25411	-6.74791	8.25	-6.75	0.909293	-2.72787
1477010446714702	8.37725	-6.85381	-2.81636	2.19484	0.175608	radar	0.232981	8.25648	-6.78122	8.35	-6.85	1.81994	-1.81993
1477010446769649	8.46321	-6.97435	-2.80748	2.20412	0.175325	lidar	0.032195	8.44494	-6.95805	8.45	-6.95	1.81993	-1.81993
1477010446819646	8.53074	-7.08052	-2.74179	2.20214	0.154355	radar	0.381728	8.39359	-7.01743	8.5	-7.1	1.00006	-3.00018
1477010446869643	8.58799	-7.21355	-2.75778	2.17524	0.100937	lidar	0.180372	8.54925	-7.24433	8.55	-7.25	1.00006	-3.00018
1477010446919691	8.70258	-7.35575	-3.09651	2.20995	0.179559	radar	4.18092	8.64403	-7.39047	8.65	-7.4	1.99807	-2.99712
1477010446969739	8.77083	-7.50475	-3.11632	2.18199	0.122137	lidar	0.197059	8.73559	-7.5421	8.75	-7.55	1.99808	-2.99712
1477010447024687	8.81726	-7.62227	-2.72809	2.13839	0.00492865	radar	5.66137	8.87176	-7.71912	8.8	-7.65	0.909955	-1.8199
1477010447079636	8.8812	-7.75626	-2.72876	2.12037	-0.0230472	lidar	0.0809325	8.84538	-7.75497	8.85	-7.75	0.909946	-1.81988
1477010447129681	8.95858	-7.88048	-2.82163	2.1258	-0.00267844	radar	0.365287	8.88333	-7.88636	8.9	-7.9	0.999086	-2.9973
1477010447179726	9.00716	-8.01972	-2.83477	2.09199	-0.0539039	lidar	0.183633	8.95966	-8.0381	8.95	-8.05	0.999095	-2.9973
1477010447234713	9.02831	-8.12937	-2.50015	2.03379	-0.17697	radar	4.38163	8.8564	-8.01424	9	-8.15	0.909309	-1.8186
1477010447289701	9.08075	-8.2526	-2.49665	2.0174	-0.186921	lidar	0.0315361	9.05896	-8.24314	9.05	-8.25	0.909301	-1.81859
1477010447339681	9.16178	-8.38407	-2.71143	2.03961	-0.111403	radar	1.73932	9.17781	-8.47056	9.1	-8.4	1.0004	-3.00119
1477010447389662	9.19747	-8.52487	-2.73186	2.00015	-0.162034	lidar	0.180471	9.15332	-8.54857	9.15	-8.55	1.00038	-3.00117
1477010447444637	9.22357	-8.64874	-2.51303	1.9446	-0.266227	radar	1.99513	9.22922	-8.6898	9.2	-8.65	0.909508	-1.819
1477010447499613	9.26522	-8.77743	-2.51092	1.92356	-0.275695	lidar	0.0263193	9.24541	-8.76863	9.25	-8.75	0.9095	-1.81899
1477010447549622	9.42746	-8.95242	-3.30746	2.08144	0.117047	radar	27.0249	9.37748	-9.00609	9.35	-8.95	1.99965	-3.99928
1477010447599631	9.48274	-9.11972	-3.33927	2.05165	0.063848	lidar	0.18188	9.44703	-9.15328	9.45	-9.15	1.99964	-3.99928
1477010447649652	9.50903	-9.23636	-2.96875	1.99878	-0.0701003	radar	5.34921	9.50096	-9.25642	9.5	-9.25	0.999584	-1.99917
1477010447699673	9.56334	-9.36863	-2.96264	1.99134	-0.075799	lidar	0.0403427	9.54157	-9.35195	9.55	-9.35	0.999584	-1.99917
1477010447749669	9.58998	-9.4873	-2.77456	1.95137	-0.158217	radar	1.64779	9.47534	-9.42627	9.55	-9.5	0	-3.00023
1477010447799666	9.60835	-9.63671	-2.79779	1.90475	-0.216134	lidar	0.267308	9.54779	-9.64959	9.55	-9.65	0	-3.0002
1477010447849716	9.675	-9.78206	-2.93888	1.92216	-0.148069	radar	0.967445	9.69942	-9.88416	9.6	-9.8	0.999005	-2.997
1477010447899766	9.69922	-9.93305	-2.95437	1.88629	-0.190396	lidar	0.184595	9.64606	-9.9341	9.65	-9.95	0.998995	-2.997
1477010447954720	9.70209	-10.0661	-2.70588	1.81624	-0.327562	radar	2.91107	9.60087	-9.96395	9.7	-10.05	0.909855	-1.81969
1477010448009675	9.74519	-10.1897	-2.67128	1.81578	-0.301464	lidar	0.154703	9.73801	-10.1396	9.75	-10.15	0.909847	-1.81969
1477010448059664	9.78632	-10.3268	-2.70853	1.80958	-0.283593	radar	0.511355	9.92627	-10.4745	9.75	-10.3	0	-3.00065
1477010448109654	9.79627	-10.4691	-2.72655	1.77231	-0.317593	lidar	0.114196	9.75524	-10.4732	9.75	-10.45	0	-3.00063
1477010448164710	9.84044	-10.6202	-2.84187	1.78692	-0.239392	radar	1.08858	9.71825	-10.5087	9.8	-10.6	0.90817	-2.72451
1477010448219767	9.86753	-10.7692	-2.83588	1.77102	-0.24331	lidar	0.0303711	9.85048	-10.7526	9.85	-10.75	0.908161	-2.72448
1477010448274697	9.8685	-10.9074	-2.66761	1.71269	-0.349594	radar	1.35091	9.88465	-10.9383	9.85	-10.9	0	-2.73074
1477010448329628	9.87197	-11.0548	-2.67359	1.67873	-0.371126	lidar	0.0866549	9.83614	-11.041	9.85	-11.05	0	-2.73073
1477010448379634	9.89115	-11.1902	-2.7214	1.67415	-0.336195	radar	0.168296	9.83952	-11.1692	9.85	-11.2	0	-2.99965
1477010448429641	9.88235	-11.3379	-2.74985	1.63381	-0.370405	lidar	0.106375	9.84568	-11.3496	9.85	-11.35	0	-2.99961
1477010448479667	9.89594	-11.4817	-2.79677	1.62743	-0.339812	radar	0.156831	9.87961	-11.5637	9.85	-11.5	0	-2.99843
1477010448529693	9.87902	-11.6311	-2.82295	1.58636	-0.374567	lidar	0.144976	9.83206	-11.6307	9.85	-11.65	0	-2.99843
1477010448579678	9.79721	-11.7438	-2.47819	1.41519	-0.733779	radar	10.2475	9.85311	-11.8523	9.8	-11.75	-1.0003	-2.00061
1477010448629664	9.76935	-11.8624	-2.47604	1.37378	-0.740449	lidar	0.0394047	9.74928	-11.8442	9.75	-11.85	-1.00029	-2.00059
1477010448679644	9.76149	-11.9863	-2.5331	1.37823	-0.642765	radar	0.618064	9.69694	-11.9706	9.7	-12	-1.0004	-3.00119
1477010448729625	9.70601	-12.1274	-2.58801	1.31716	-0.682495	lidar	0.22912	9.65354	-12.1497	9.65	-12.15	-1.00039	-3.00116
1477010448779630	9.64182	-12.2473	-2.51549	1.21779	-0.835737	radar	1.64243	9.72311	-12.3964	9.6	-12.25	-0.999885	-1.99981
1477010448829636	9.58287	-12.3644	-2.52804	1.16459	-0.85117	lidar	0.0824851	9.54859	-12.3478	9.55	-12.35	-0.999884	-1.99979
1477010448879685	9.46865	-12.4606	-2.44364	0.997638	-1.13371	radar	3.88038	9.39039	-12.3902	9.45	-12.45	-1.99803	-1.99805
1477010448929734	9.38868	-12.5617	-2.45809	0.931859	-1.14547	lidar	0.0525603	9.36086	-12.5501	9.35	-12.55	-1.99804	-1.99804
1477010448984693	9.33639	-12.6731	-2.45279	0.932544	-1.001	radar	0.840169	9.34456	-12.7106	9.3	-12.65	-0.909773	-1.81953
1477010449039652	9.24504	-12.7772	-2.46156	0.870965	-1.00916	lidar	0.0451486	9.22134	-12.7613	9.25	-12.75	-0.909773	-1.81954
1477010449089745	9.08188	-12.8383	-2.44457	0.631244	-1.46174	radar	9.78562	9.15326	-13.0031	9.05	-12.85	-3.99257	-1.99629
1477010449139839	8.93496	-12.9284	-2.56144	0.534051	-1.48579	lidar	0.624215	8.84161	-12.9519	8.85	-12.95	-3.99253	-1.99627
1477010449194745	8.81476	-12.9942	-2.54809	0.462895	-1.45663	radar	0.137101	8.71632	-12.9613	8.75	-13	-1.8213	-0.910651
1477010449249651	8.68121	-13.0514	-2.56035	0.379596	-1.45952	lidar	0.0218424	8.66358	-13.0431	8.65	-13.05	-1.8213	-0.910651
1477010449299701	8.55228	-13.0943	-2.59109	0.292292	-1.49667	radar	0.129602	8.54518	-13.1702	8.5	-13.1	-2.997	-0.999005
1477010449349751	8.40501	-13.1389	-2.65294	0.21744	-1.4885	lidar	0.168048	8.35763	-13.1557	8.35	-13.15	-2.997	-0.998995
1477010449404748	8.23464	-13.1499	-2.7614	0.0829405	-1.62405	radar	1.05412	8.22926	-13.1698	8.2	-13.15	-2.72741	0
1477010449459745	8.06976	-13.1591	-2.7946	-0.00655624	-1.61966	lidar	0.07358	8.03583	-13.1513	8.05	-13.15	-2.72742	0
1477010449514693	7.93229	-13.1588	-2.6941	-0.0667904	-1.53485	radar	0.800262	7.82914	-13.0525	7.9	-13.15	-2.72986	0
1477010449569641	7.77767	-13.1502	-2.71646	-0.145496	-1.52425	lidar	0.0246756	7.76538	-13.1647	7.75	-13.15	-2.72986	0
1477010449619676	7.71369	-13.1902	-2.25142	-0.0913692	-1.16872	radar	11.6234	7.66146	-13.3079	7.6	-13.2	-2.9979	-0.999304
1477010449669711	7.54913	-13.2081	-2.38058	-0.115621	-1.105	lidar	0.838966	7.44786	-13.2517	7.45	-13.25	-2.9979	-0.999304
1477010449724687	7.41196	-13.1874	-2.39107	-0.17508	-1.09659	radar	0.450217	7.21108	-13.0985	7.3	-13.25	-2.72846	0
1477010449779664	7.23764	-13.1905	-2.49979	-0.198884	-1.03609	lidar	0.588603	7.16011	-13.2382	7.15	-13.25	-2.72844	0
1477010449829700	7.08826	-13.1181	-2.71805	-0.327525	-1.22569	radar	3.60474	6.88472	-12.9588	7	-13.2	-2.99784	0.999284
1477010449879736	6.91801	-13.0993	-2.81466	-0.35071	-1.16549	lidar	0.518002	6.84891	-13.1493	6.85	-13.15	-2.99784	0.999284
1477010449934724	6.77803	-13.0603	-2.76711	-0.392128	-1.11753	radar	0.450887	6.77424	-13.2337	6.7	-13.1	-2.72787	0.909275
